ID,Meno,Priezvisko,Rodne_cislo,Miesto_narodenia,Stav_uctu,Stav
0,Jana,Fabianova,586113/4012,Martin,385719,vydaty
1,Radoslav,Dvorak,610805/6069,Trencin,647090,slobodny
2,Simona,Kucerova,995311/1484,Martin,521375,vydaty
3,Ondrej,Rusnak,590319/1943,Nitra,590027,slobodny
4,Lucia,Muskova,985328/4820,Martin,21773,vydaty
5,Jan,Fabian,710108/2790,Humenne,125416,slobodny
6,Jana,Rusnakova,966026/2810,Martin,896777,vydaty
7,Richard,Novak,921210/4244,Humenne,99614,slobodny
8,Zuzana,Predajnianska,606022/6975,Humenne,186607,vydaty
9,Martin,Rusnak,610616/2858,Bardejov,37895,slobodny
10,Lucia,Rusnakova,905220/6832,Presov,918691,vydaty
11,Jan,Horvath,750116/7224,Nitra,422734,slobodny
12,Jana,Vargova,905921/6623,Komarno,367361,vydaty
13,Ondrej,Bednar,680716/1279,Svidnik,165895,slobodny
14,Lucia,Bednarova,935804/1742,Snina,357280,vydaty
15,Marek,Varga,660715/3898,Zilina,477092,slobodny
16,Ivana,Muskova,725413/7813,Presov,884215,vydaty
17,Juraj,Kubik,920907/4992,Levice,215839,slobodny
18,Katerina,Novakova,615207/3102,Nitra,308585,vydaty
19,Richard,Predajniansky,860207/7039,Bardejov,402066,slobodny
20,Lucia,Vesela,665303/1382,Martin,807553,vydaty
21,Radoslav,Fabian,520305/5716,Presov,846473,slobodny
22,Zuzana,Dvorakova,605113/8602,Humenne,209044,vydaty
23,Martin,Varga,921120/4179,Levice,260786,slobodny
24,Barbora,Cerna,956213/3205,Kosice,79255,vydaty
25,Radoslav,Cerny,720819/5637,Trnava,508745,slobodny
26,Lucia,Dvorakova,595919/2388,Zvolen,754785,vydaty
27,Peter,Kucera,770107/3097,Humenne,752051,slobodny
28,Barbora,Horvathova,646124/7166,Levice,454681,vydaty
29,Martin,Kubik,841225/2632,Zvolen,858622,slobodny
30,Veronika,Muskova,735209/8050,Poprad,111658,vydaty
31,Martin,Predajniansky,920807/2841,Svidnik,408866,slobodny
32,Lucia,Simekova,685627/7084,Snina,895958,vydaty
33,Richard,Cerny,930223/5169,Poprad,15339,slobodny
34,Veronika,Predajnianska,655327/8525,Levice,829175,vydaty
35,Tomas,Marko,921115/1885,Humenne,169595,slobodny
36,Lucia,Kubikova,925521/5993,Komarno,95582,vydaty
37,Juraj,Kubik,801115/4379,Senec,914753,slobodny
38,Jana,Novakova,755406/7716,Poprad,526903,vydaty
39,Radoslav,Novak,860109/7423,Bratislava,651789,slobodny
40,Petra,Kucerova,946127/6164,Poprad,69727,vydaty
41,Radoslav,Cerny,570809/1915,Presov,919436,slobodny
42,Petra,Horvathova,775510/4409,Levice,238594,vydaty
43,Marek,Varga,591017/2723,Bardejov,294551,slobodny
44,Barbora,Muskova,635310/6773,Levice,849586,vydaty
45,Radoslav,Kucera,591218/1046,Humenne,994275,slobodny
46,Petra,Predajnianska,915808/5259,Kosice,760403,vydaty
47,Juraj,Bednar,790609/4305,Levice,116508,slobodny
48,Veronika,Bednarova,985122/8651,Nitra,498200,vydaty
49,Richard,Kubik,920211/9842,Svidnik,838313,slobodny
50,Jana,Horvathova,775415/6565,Humenne,241986,vydaty
51,Peter,Predajniansky,840910/7054,Bardejov,971786,slobodny
52,Veronika,Bednarova,946204/2352,Senec,261448,vydaty
53,Richard,Muska,891225/2947,Senec,216808,slobodny
54,Barbora,Vargova,785526/4016,Trnava,842696,vydaty
55,Juraj,Kucera,820917/3091,Zvolen,745882,slobodny
56,Sandra,Horvathova,875419/6343,Senec,569872,vydaty
57,Tomas,Dvorak,771027/1889,Tvrdosin,735140,slobodny
58,Katerina,Cerna,625809/8661,Bardejov,660876,vydaty
59,Martin,Cerny,910527/3567,Trencin,616730,slobodny
60,Ivana,Simekova,845914/1631,Senec,433917,vydaty
61,Richard,Muska,680805/7801,Svidnik,719003,slobodny
62,Jana,Horvathova,625624/7140,Martin,999343,vydaty
63,Ondrej,Novak,951213/7956,Martin,724803,slobodny
64,Barbora,Bednarova,815121/7235,Poprad,396442,vydaty
65,Peter,Kubik,551225/7088,Presov,561151,slobodny
66,Sandra,Predajnianska,806104/4030,Snina,434780,vydaty
67,Martin,Fabian,590819/5118,Martin,206897,slobodny
68,Katerina,Rusnakova,515606/9742,Poprad,688611,vydaty
69,Filip,Muska,971028/9603,Svidnik,784221,slobodny
70,Petra,Bednarova,795216/4790,Zvolen,739416,vydaty
71,Martin,Rusnak,850317/3575,Svidnik,688912,slobodny
72,Sandra,Muskova,696014/7451,Zvolen,964647,vydaty
73,Martin,Horvath,820611/6890,Bardejov,961165,slobodny
74,Ivana,Predajnianska,516106/1914,Snina,91196,vydaty
75,Juraj,Cerny,670608/1606,Komarno,602561,slobodny
76,Simona,Predajnianska,645209/6982,Presov,966589,vydaty
77,Marek,Horvath,791212/1210,Presov,798100,slobodny
78,Veronika,Dvorakova,785217/5529,Zvolen,998233,vydaty
79,Ondrej,Fabian,640807/4824,Martin,313175,slobodny
80,Sandra,Cerna,825323/2876,Bardejov,91378,vydaty
